Colegio,lat,lon
integral arturo prat/ talagante,-33.6613024,-70.9230444
liceo de machali,-34.1754914,-70.6600919
claudio arrau / doñihue,-34.2238934,-70.9623193
liceo teno/ teno,-34.8705939,-71.1656399
nahuelcura/ machali,-34.1738294,-70.6912606
liceo nuestra sra. de la paz/ viña del mar,-33.0015499,-71.5411509
polivalente saint orland nº 3/ cerro navia,,
people help people/ santo domingo,-33.6360443,-71.6145606
liceo bicentenario de talagante/ talagante,-33.6687968,-70.9425871
instituto america/ maipu,-33.5075037,-70.7647165
liceo comercial alejandro lubet v./ quilpue,-33.0451035,-71.4398514
francisco arriaran/ santiago,-33.4589927,-70.6487645
serena/ la serena,-29.902631,-71.2520253
liceo juan pablo ii de las condes,-33.4203622,-70.5361564
netlandschool/ antofagasta,,
san andres/ maipu,-23.6483162,-70.4001832
liceo andres bello/ san miguel,-33.4861966,-70.652894
teresa de los andes/ algarrobo,-33.3675912,-71.6596575
escuela basica fco. varela/ peñalolen,,
la cruz/ machali,-34.1627026,-70.6663371
liceo polivalente de tome-alto/ tome,-36.6013689,-72.9584096
hispano britanico/ iquique,-20.2656583,-70.1259024
centro educ. santa clara /la cisterna,,
melford college/ quilicura,-33.3616296,-70.728936
adventista/chillan,-36.5972537,-72.094876
liceo san pedro poveda/ maipu,-33.4956485,-70.7611252
los ceibos/ talagante,-33.6057405,-70.8766507
